Price,City,Bedrooms,Bathrooms,Area_sqft
450000,Mumbai,2,2,900
1200000,Bangalore,4,3,2200
780000,Delhi,3,2,1500
350000,Chennai,2,1,800
2500000,Mumbai,5,4,3500
670000,Bangalore,3,2,1400
920000,Delhi,3,3,1600
300000,Chennai,2,1,750
1500000,Mumbai,4,3,2500
540000,Bangalore,2,2,1100
890000,Delhi,3,2,1550
410000,Chennai,2,1,820
3200000,Mumbai,5,4,4000
610000,Bangalore,3,2,1350
970000,Delhi,3,3,1700
280000,Chennai,2,1,700
1750000,Mumbai,4,3,2600
720000,Bangalore,3,2,1450
1020000,Delhi,4,3,1800
390000,Chennai,2,1,780
